,Country,Country Code,PMR,BAR,BF,NEW,FIR,COM,TUD,CAC,EPI,TER,NEET,LLT,2017_expenditure_on_social_protection,2017_expenditure_on_families,2017_expenditure_on_health_care,2017_healthy_life_years_at_age_65,2017_gini_income,2017_fertility_rate,2017_expenditure_rnd,2017_researchers_per_1000_employees,2017_expenditure_on_education,2017_turnover_from_innovation,2017_high_tech_exports,2017_patent_applications,Domestic credit to private sector (% of GDP),Domestic credit provided by financial sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Mutual fund assets to GDP (%),Stock market capitalization to GDP (%),Investments financed by equity or stock sales (%),"Stock market return (%, year-on-year)",Stock market total value traded to GDP (%),Stock market turnover ratio (%),Stock price volatility,Bank concentration (%),Gross portfolio debt assets to GDP (%),owner occupied hosung %,overburden rate,outstanding residential loans %GDP,Social hosing stock,Property tax % GDP,Dealing with Construction Permits score
0,Austria,AUT,1.439355433,1.227980494,75.5,0.65,316562,5.62941885,26.9,98,0.63,8.69,9.2,14.7,29.4,9.29,25.15,7.6,29.7,1.52,3.05,10.77,5.25,,14.8,1297.00,84.3347535,..,-6.27456925,-5.841452055,47.4278,32.7586,..,34.7718,8.01002,29.2837,18.5065,62.4959,53.2647,55.4,14.5,29.2,23.6,0.52,75.1
1,Belgium,BEL,1.689176083,1.705315709,80.6,3.37,633982,5.802305222,54.2,96,0.43,10.96,12.8,8.2,28.9,7.17,25.41,11.1,27.4,1.65,2.7,11.37,6.29,,9.8,860.60,68.03123413,..,-7.816627755,-6.147950336,41.1094,83.4506,..,6.62459,..,..,15.3636,67.6514,81.5783,72.3,34.8,53.6,4.2,3.45,75.5
2,Bulgaria,BGR,1.929374754,2.000349522,64.3,10.1,343769,4.813969612,13.7,10.8,0.19,4.37,17.5,2,16.9,10.4,27.88,8.8,40.4,1.56,0.75,,4.09,,5.4,18.70,50.44045168,..,2.726492181,1.351680362,1.37983,..,..,39.3908,..,..,11.1381,49.8138,11.3539,83.6,50.1,8.4,,,75.9
3,Bosnia and Herzegovina,BIH,1.384962916,1.070055127,49.3,1.09,,4.491966248,30,50,0.38,16.11,,,19.7,4.08,27.93,,,1.276,0.2,,,,,0.10,57.50269315,60.77289255,2.946984648,-0.034572643,..,..,..,-2.99891,..,..,12.6362,38.4289,2.72842,,,,,,
4,Switzerland,CHE,1.531479657,1.098872185,75.7,4.53,,5.476599693,15.7,49.2,0.38,12.61,6.7,32.3,27.3,5.52,29.21,10.6,32.7,1.52,3.37,9.2,5.05,,:,1572.30,..,..,-10.8092787,5.450277114,82.3066,228.218,..,10.8996,131.901,61.2021,13.7647,71.5236,98.4236,42.5,19.4,141.3,8,2.12,71.8
5,Cyprus,CYP,1.800541818,1.680011511,77,17.58,55267,5.526783943,47.7,47.7,0.37,13.61,14.6,5.9,18.5,6.52,17.87,9,31.4,1.337,0.56,,5.77,,10.2,2.50,137.703026,..,-25.1081979,-46.98286957,..,12.2655,..,8.30758,0.32989,2.54536,12.5835,76.0261,54.8596,70.1,11.3,41,,,64.2
6,Germany,DEU,1.081647485,0.755182564,86.1,1.35,2600926,5.876191139,17,56,0.61,11.9,9.3,8.2,29.6,11,33.68,11.9,,1.57,3.04,9.48,4.53,,15.1,16655.20,78.39072104,..,4.237279989,4.477559758,61.0795,54.2984,..,22.4177,36.6011,77.722,16.818,70.3639,60.4254,51.5,20.9,43.2,2.7,1.03,78.2
7,Denmark,DNK,1.023165464,0.627766371,92.5,10.01,225618,5.389902115,67.2,84,0.83,10.86,10,25.3,31.9,10.68,20.58,11.6,28.7,1.75,3.05,15.55,7.33,,9.6,615.60,161.2404034,..,2.281496066,1.822433428,44.8906,..,..,5.33991,..,..,17.9983,89.6135,59.7951,60.5,28.9,83.5,21.4,1.8,87.9
8,Spain,ESP,1.030317545,0.847029567,66.3,3.07,2650529,5.54508543,13.9,73.1,0.5,26.26,16,10.6,23.4,5.34,26.38,12.4,34.7,1.31,1.21,6.87,4.07,,5.7,748.60,99.4891388,..,3.894274361,2.741690624,26.7903,60.692,..,17.5852,50.6278,92.9858,21.1821,73.1603,28.8542,76.3,38.1,41.1,1.1,2.54,70.8
9,Estonia,EST,1.287265122,1.070055127,75.6,23.59,77499,5.779811859,4.5,18.6,0.23,3.13,11.6,20.2,16,12.9,29.44,5.9,30.4,1.59,1.29,7.38,:,,12,15.00,61.93707717,..,3.958472071,-0.697365735,4.67203,..,..,18.9722,..,..,7.96452,93.194,38.5722,82.4,25.5,29.2,1.1,0.24,82.6
