Country Name,PMR,BAR,BF,NEW
Afghanistan,,,53,0.21
Albania,1.820772171,1.515167236,69.1,1.52
Algeria,,,68.1,0.35
Angola,,,58.3,
Argentina,2.647691369,2.586767673,56.2,0.2
Armenia,,,78.7,3.05
Australia,1.16,0.94,89.1,14.47
Austria,1.439355433,1.227980494,75.5,0.65
Azerbaijan,,,72.3,1.66
Bahamas,,,68.3,
Bahrain,,,75.5,
Bangladesh,,,52.1,0.04
Barbados,,,70.5,
Belarus,,,74.1,1.34
Belgium,1.689176083,1.705315709,80.6,3.37
Belize,,,62.9,3.39
Benin,,,60.7,
Bhutan,,,72.5,0.09
Bolivia,,,59.2,0.51
Bosnia and Herzegovina,,,49.3,1.09
Botswana,,,69.5,20.09
Brazil,2.580705762,2.367831707,58.6,1.29
Bulgaria,1.929374754,2.000349522,64.3,10.1
Burkina Faso,,,51.5,0.33
Burma,,,54.2,
Burundi,,,53,
Cambodia,,,30.6,
Cameroon,,,44,
Canada,1.756216168,1.718835831,81.8,0.16
Cabo Verde,,,64.6,
Central African Republic,,,27.2,
Chad,,,29.4,
Chile,1.408499181,1.270075798,72.4,10.31
China,,,54.9,
Colombia,2.041814923,1.898781061,78.6,2.02
Comoros,,,57.5,
"Congo, Democratic Republic of the Congo",,,60.2,0.05
"Congo, Republic of",,,31.3,
Costa Rica,2.316910863,2.097840548,68.3,2.6
Côte d'Ivoire,,,62.1,
Croatia,1.433284521,1.048822403,58.9,5.86
Cuba,,,20,
Cyprus,1.800541818,1.680011511,77,17.58
Czech Republic,1.298294067,1.263085723,72.5,4.39
Denmark,1.023165464,0.627766371,92.5,10.01
Djibouti,,,51.7,
Dominica,,,71.7,7.74
Dominican Republic,,,53.2,1.48
Ecuador,,,55.6,
Egypt,,,71.5,
El Salvador,,,58.2,0.57
Equatorial Guinea,,,45.6,
Eritrea,,,56.7,
Estonia,1.287265122,1.070055127,75.6,23.59
Ethiopia,,,40.2,0.51
Fiji,,,62.8,
Finland,1.368777156,1.042897582,89.9,4.29
France,1.573799253,1.317198753,80.2,4.84
Gabon,,,49.3,0.88
Gambia,,,54.2,
Georgia,,,86.9,10.35
Germany,1.081647485,0.755182564,86.1,1.35
Ghana,,,59.5,0.87
Greece,1.556026757,1.117343187,74.4,1.42
Guatemala,,,57.3,
Guinea,,,54.1,0.4
Guinea-Bissau,,,47.8,
Guyana,,,60.3,
Haiti,,,48.3,0.06
Honduras,,,58.5,
Hong Kong,,,96.3,28.59
Hungary,1.316536307,1.053518414,61.8,3.74
Iceland,1.44168061,1.666848302,89.5,9.88
India,,,56.4,0.14
Indonesia,2.881594658,2.020225286,57.3,0.33
Iran,,,64.3,
Iraq,,,59.1,0.1
Ireland,1.384962916,1.229549885,81.8,7.13
Israel,1.414094448,1.292059898,71.8,3.27
Italy,1.316977262,1.065683365,70.3,2.96
Jamaica,,,78.7,1.6
Japan,1.440528154,0.899516106,81.7,0.39
Jordan,,,63,0.53
Kazakhstan,2.1235286,1.484407187,74.3,2
Kenya,,,55.5,1.49
Kiribati,,,53.1,0.03
"Korea, North ",1.705384016,1.723497629,5,2.56
"Korea, South",1.705384016,1.723497629,90.7,2.56
Kosovo,,,72.6,4
Kuwait,,,57.2,
Kyrgyz Republic,,,73.3,1.27
Laos,,,65.4,0.04
Latvia,1.280287266,0.749219179,80.1,8.01
Lebanon,,,48.8,
Lesotho,,,52.9,
Liberia,,,53.1,0.02
Libya,,,63.5,
Liechtenstein,,,,
Lithuania,1.185324043,0.565064013,73.4,3.33
Luxembourg,1.678460717,1.352611303,69.2,17.2
Macau,,,60,
Macedonia,,,82.9,3.63
Madagascar,,,45.6,0.13
Malawi,,,47.7,0.09
Malaysia,,,83.9,2.37
Maldives,,,78.6,3.7
Mali,,,52.8,
Malta,1.53779912,1.369674683,64,17.48
Mauritania,,,64.2,0.38
Mauritius,,,77.5,9.26
Mexico,1.607859612,1.467346191,67.5,1
Micronesia,,,57.6,
Moldova,,,66,1.86
Mongolia,,,67,5.54
Montenegro,,,72.9,11.29
Morocco,,,69.6,1.9
Myanmar,,,,0.39
Mozambique,,,58,
Namibia,,,67.5,1.15
Nepal,,,64.6,1.34
Netherlands,1.097613096,1.069574594,80.5,6.42
New Zealand,1.238027871,0.766279817,91.5,17.84
Nicaragua,,,60.2,
Niger,,,45.5,0.09
Nigeria,,,49.3,0.83
Norway,1.150896221,0.896555126,90.4,8.62
Oman,,,76.3,1.4
Pakistan,,,55.3,0.1
Panama,,,74.4,4.83
Papua New Guinea,,,60.6,
Paraguay,,,62.2,0.23
Peru,,,69.2,3.75
Philippines,,,62.6,0.29
Poland,1.45029062,1.23926425,67.2,1.44
Portugal,1.344809592,1.051711798,83.2,6.49
Qatar,,,71.3,6.26
Romania,1.861251295,1.587615132,65.2,7.32
Russia,2.229142964,1.860762,77,3.26
Rwanda,,,55,1.51
Saint Lucia,,,76.6,
Saint Vincent and the Grenadines,,,80,
Samoa,,,77,1.13
São Tomé and Príncipe,,,65.9,2.3
Saudi Arabia,,,74,0.5
Senegal,,,51.5,0.47
Serbia,2.104091167,1.674208879,68.3,1.88
Seychelles,,,63.4,
Sierra Leone,,,51.3,0.46
Singapore,,,90.9,10.01
Slovakia,1.522708952,1.502071023,63.9,5.25
Slovenia,1.289845109,1.008405566,79.5,3.09
Solomon Islands,,,68.9,
South Africa,2.525295734,2.186139345,65.1,10.21
Spain,1.030317545,0.847029567,66.3,3.07
St. Lucia,,,,2.69
St. Vincent and the Grenadines,,,,1.6
Sri Lanka,,,76.2,0.74
Sudan,,,52.3,0.3
Suriname,,,48.3,2.29
Swaziland,,,61.1,
Sweden,1.114501208,0.771598041,89.3,7.18
Switzerland,1.531479657,1.098872185,75.7,4.53
Syria,,,61.8,0.05
Taiwan ,,,93.2,2.46
Tajikistan,,,63.4,0.15
Tanzania,,,50,
Thailand,,,77.2,1.13
Timor-Leste,,,66.9,
Togo,,,49.7,0.59
Tonga,,,75.5,0.84
Trinidad and Tobago,,,68.3,
Tunisia,,,81.4,1.68
Turkey,2.278851628,2.356851101,63.3,1.56
Turkmenistan,,,30,
Uganda,,,45.4,0.86
Ukraine,,,62.7,1.68
United Arab Emirates,,,79.9,3.04
United Kingdom,0.780303061,0.720121384,91.1,15.65
United States,,,82.7,
Uruguay,,,74.4,1.26
Uzbekistan,,,66.9,1.63
Vanuatu,,,55.2,1.53
Venezuela,,,35.4,
Vietnam,,,63.2,
Yemen,,,52.7,
