Country Name,Indicator Id,Indicator,Subindicator Type,2007,2007-2008,2008,2008-2009,2009,2009-2010,2010,2010-2011,2011,2011-2012,2012,2012-2013,2013,2013-2014,2014,2014-2015,2015,2015-2016,2016,2016-2017,2017,2017-2018,2018,2019
Angola,517,Intensity of local competition,1-7 Best,,,,,,,,3.858249,,3.165548081,,,,2.823529,,2.601163532,,,,,,,,
Angola,518,Intensity of local competition,Rank,,,,,,,,127,,142,,,,148,,144,,,,,,,,
Albania,517,Intensity of local competition,1-7 Best,,3.665119753,,3.747258947,,4.094755906,,4.175324227,,4.031250898,,3.857393725,,3.41822505,,3.490491874,,4.037088891,,4.498802087,,4.728952408,,
Albania,518,Intensity of local competition,Rank,,123,,127,,116,,113,,122,,128,,144,,142,,134,,116,,100,,
United Arab Emirates,517,Intensity of local competition,1-7 Best,,5.396329333,,5.579207134,,5.804765068,,5.665474189,,5.604772202,,5.694640681,,5.709416,,5.956099236,,5.956099236,,5.904824322,,5.574675083,,
United Arab Emirates,518,Intensity of local competition,Rank,,35,,28,,9,,13,,19,,15,,17,,9,,8,,9,,19,,
Argentina,517,Intensity of local competition,1-7 Best,,4.156007873,,4.328297033,,4.295740591,,4.253200479,,4.25763,,4.073458541,,4.008968784,,4.073151416,,4.295647898,,4.424087018,,4.329607964,,
Argentina,518,Intensity of local competition,Rank,,109,,109,,107,,107,,105,,117,,134,,132,,123,,122,,123,,
Armenia,517,Intensity of local competition,1-7 Best,,3.634399901,,3.341312031,,3.579082467,,3.5143489,,3.360122099,,3.848416368,,4.581407169,,4.869006184,,4.810755147,,4.810060322,,5.145057678,,
Armenia,518,Intensity of local competition,Rank,,124,,132,,128,,136,,139,,130,,102,,85,,85,,91,,66,,
Australia,517,Intensity of local competition,1-7 Best,,5.732557503,,5.670743501,,5.68108181,,5.678070077,,5.869799223,,5.851718543,,5.821542328,,5.994377698,,5.932749312,,5.916532244,,5.896753788,,
Australia,518,Intensity of local competition,Rank,,15,,18,,17,,11,,7,,6,,13,,8,,9,,7,,8,,
Austria,517,Intensity of local competition,1-7 Best,,6.057760462,,6.266598331,,6.021231837,,5.853305396,,5.799999121,,5.82991369,,5.830050787,,5.817644827,,5.732598045,,5.589272427,,5.62941885,,
Austria,518,Intensity of local competition,Rank,,2,,2,,3,,6,,8,,7,,11,,15,,15,,23,,18,,
Azerbaijan,517,Intensity of local competition,1-7 Best,,3.841587278,,4.551903454,,4.3008286,,3.724649156,,3.79153972,,3.823965939,,4.170028719,,4.348531498,,4.348531498,,4.518979359,,4.677549839,,
Azerbaijan,518,Intensity of local competition,Rank,,118,,96,,105,,134,,133,,131,,128,,121,,120,,115,,106,,
Burundi,517,Intensity of local competition,1-7 Best,,3.700125781,,4.019181516,,3.394316204,,3.573176376,,4.153040957,,3.533037922,,3.290141859,,3.913765871,,3.913765871,,4.364665659,,3.908195019,,
Burundi,518,Intensity of local competition,Rank,,120,,119,,130,,135,,113,,140,,146,,134,,136,,123,,132,,
Belgium,517,Intensity of local competition,1-7 Best,,5.966376531,,6.015733181,,5.836751531,,5.905569378,,5.964556767,,5.961945103,,5.97259534,,6.045659972,,5.974986658,,5.849777118,,5.802305222,,
Belgium,518,Intensity of local competition,Rank,,7,,6,,7,,4,,2,,4,,6,,6,,6,,13,,11,,
Benin,517,Intensity of local competition,1-7 Best,,4.327765012,,4.775360266,,4.951545068,,4.793102746,,4.539052704,,4.475301892,,4.742560623,,,,4.940298557,,4.823134232,,4.751145363,,
Benin,518,Intensity of local competition,Rank,,101,,82,,63,,74,,93,,93,,89,,,,81,,89,,96,,
Burkina Faso,517,Intensity of local competition,1-7 Best,,4.613522299,,4.453880435,,4.171659188,,3.85755045,,3.885503406,,4.258562578,,4.389156605,,4.565317845,,,,,,,,
Burkina Faso,518,Intensity of local competition,Rank,,79,,102,,113,,128,,130,,105,,116,,110,,,,,,,,
Bangladesh,517,Intensity of local competition,1-7 Best,,4.735743421,,4.861305549,,4.815580396,,4.6721951,,4.540412942,,4.658185939,,4.925976582,,4.921970551,,4.978841852,,5.108708175,,4.969376564,,
Bangladesh,518,Intensity of local competition,Rank,,69,,76,,74,,81,,92,,83,,74,,79,,75,,71,,77,,
Bulgaria,517,Intensity of local competition,1-7 Best,,4.496702268,,5.01653182,,4.927767942,,4.533284808,,4.439073678,,4.327251839,,4.581411343,,4.963453526,,4.611235013,,4.617067523,,4.813969612,,
Bulgaria,518,Intensity of local competition,Rank,,87,,66,,66,,94,,99,,101,,101,,75,,104,,107,,91,,
Bahrain,517,Intensity of local competition,1-7 Best,,5.061467866,,5.25490613,,5.157809992,,5.249896009,,5.45373694,,5.376925524,,5.327911686,,5.354799001,,5.287929284,,5.208401605,,5.20840168,,
Bahrain,518,Intensity of local competition,Rank,,56,,46,,51,,40,,25,,33,,40,,46,,47,,61,,62,,
Bosnia and Herzegovina,517,Intensity of local competition,1-7 Best,,4.320484093,,4.482777575,,4.048290962,,3.740105902,,3.818619,,3.6015098,,3.423875,,,,4.396039486,,4.456745785,,4.491966248,,
Bosnia and Herzegovina,518,Intensity of local competition,Rank,,102,,98,,118,,133,,132,,138,,143,,,,117,,119,,117,,
Belize,517,Intensity of local competition,1-7 Best,,,,,,,,,,4.224078,,,,,,,,,,,,,,
Belize,518,Intensity of local competition,Rank,,,,,,,,,,107,,,,,,,,,,,,,,
Bolivia,517,Intensity of local competition,1-7 Best,,4.090825905,,3.885107856,,3.794403255,,3.898128361,,3.758497439,,3.70533665,,3.833246827,,3.760173597,,4.266598002,,4.938314111,,,,
Bolivia,518,Intensity of local competition,Rank,,112,,124,,126,,126,,134,,135,,137,,139,,127,,82,,,,
Brazil,517,Intensity of local competition,1-7 Best,,5.25213971,,5.291523342,,5.156185189,,5.107271401,,5.160944893,,5.140540366,,4.981935162,,5.271597828,,5.371110286,,5.2605508,,5.279301167,,
Brazil,518,Intensity of local competition,Rank,,45,,43,,52,,50,,48,,45,,70,,52,,41,,52,,53,,
Barbados,517,Intensity of local competition,1-7 Best,,4.471501976,,4.457222364,,4.52149461,,4.67410559,,4.877805113,,4.857519549,,5.212394585,,5.584763953,,,,5.173820825,,,,
Barbados,518,Intensity of local competition,Rank,,91,,101,,96,,80,,68,,70,,50,,28,,,,68,,,,
Brunei Darussalam,517,Intensity of local competition,1-7 Best,,,,4.778654,,4.794579834,,4.998844684,,4.952843166,,4.830311074,,5.082019774,,,,,,4.602739811,,4.683029652,,
Brunei Darussalam,518,Intensity of local competition,Rank,,,,81,,75,,61,,63,,71,,62,,,,,,111,,104,,
Bhutan,517,Intensity of local competition,1-7 Best,,,,,,,,,,,,,,4.686965,,4.613860966,,4.626384165,,4.643720895,,4.673519611,,
Bhutan,518,Intensity of local competition,Rank,,,,,,,,,,,,,,96,,106,,102,,104,,107,,
Botswana,517,Intensity of local competition,1-7 Best,,4.66106611,,4.831471964,,4.629900687,,4.604606017,,4.753471516,,4.799584675,,4.728597709,,4.746541297,,5.030861519,,5.274945479,,4.972486496,,
Botswana,518,Intensity of local competition,Rank,,75,,79,,88,,89,,75,,74,,93,,95,,72,,50,,76,,
Canada,517,Intensity of local competition,1-7 Best,,5.671203801,,5.60397605,,5.572696668,,5.590182347,,5.575328878,,5.627441613,,5.43369063,,5.499359006,,5.553171366,,5.446020656,,5.449285984,,
Canada,518,Intensity of local competition,Rank,,18,,23,,24,,20,,21,,19,,33,,33,,24,,32,,34,,
Switzerland,517,Intensity of local competition,1-7 Best,,5.527109858,,5.669054495,,5.493369335,,5.366333696,,5.457247605,,5.586877414,,5.609429337,,5.708972033,,5.520305876,,5.391591768,,5.476599693,,
Switzerland,518,Intensity of local competition,Rank,,27,,20,,27,,36,,24,,20,,21,,19,,30,,39,,29,,
Chile,517,Intensity of local competition,1-7 Best,,5.741555118,,5.669871122,,5.592065255,,5.534138078,,5.3606598,,5.260505788,,5.37524555,,5.590320477,,5.57070265,,5.202901063,,5.225785255,,
Chile,518,Intensity of local competition,Rank,,14,,19,,23,,25,,36,,39,,37,,27,,22,,62,,61,,
China,517,Intensity of local competition,1-7 Best,,5.338221324,,5.58242211,,5.750431294,,5.617085235,,5.548427071,,5.302448603,,5.2630925,,5.358266235,,5.407433449,,5.412461536,,5.46120882,,
China,518,Intensity of local competition,Rank,,39,,27,,13,,19,,22,,37,,46,,44,,36,,36,,33,,
Cote d'Ivoire,517,Intensity of local competition,1-7 Best,,,,4.747303,,4.709805985,,4.751180149,,4.629571772,,4.72138767,,4.969774354,,4.552677033,,4.603303023,,4.774907324,,,,
Cote d'Ivoire,518,Intensity of local competition,Rank,,,,83,,84,,76,,83,,78,,72,,112,,105,,95,,,,
Cameroon,517,Intensity of local competition,1-7 Best,,4.353404421,,4.58376979,,4.738078418,,5.035443357,,4.561037251,,4.416359255,,4.728644421,,4.581953419,,4.587891634,,4.830314179,,4.865494728,,
Cameroon,518,Intensity of local competition,Rank,,99,,90,,80,,57,,90,,97,,92,,109,,106,,88,,85,,
"Congo, Dem. Rep.",517,Intensity of local competition,1-7 Best,,,,,,,,,,,,,,,,,,,,4.690721512,,4.679892063,,
"Congo, Dem. Rep.",518,Intensity of local competition,Rank,,,,,,,,,,,,,,,,,,,,102,,105,,
Colombia,517,Intensity of local competition,1-7 Best,,4.936223226,,4.937402027,,4.778662317,,4.669202933,,4.608969436,,4.716181881,,5.060455373,,5.220746305,,5.435021067,,5.575520761,,5.549760342,,
Colombia,518,Intensity of local competition,Rank,,64,,70,,78,,82,,85,,79,,64,,56,,35,,24,,22,,
Cabo Verde,517,Intensity of local competition,1-7 Best,,,,,,,,4.015273,,3.957535557,,4.019227955,,4.321219868,,4.456310392,,4.443349101,,4.435256314,,4.444537163,,
Cabo Verde,518,Intensity of local competition,Rank,,,,,,,,121,,126,,122,,122,,117,,114,,120,,119,,
Costa Rica,517,Intensity of local competition,1-7 Best,,5.103748408,,5.228961362,,5.124619337,,5.00633075,,4.948467021,,4.955477125,,5.203495937,,5.183728776,,5.247295581,,5.295529108,,5.322350025,,
Costa Rica,518,Intensity of local competition,Rank,,50,,48,,54,,59,,65,,60,,52,,59,,55,,49,,49,,
Cyprus,517,Intensity of local competition,1-7 Best,,5.370552276,,5.583238804,,5.685464226,,5.631755245,,5.390347847,,5.148492152,,5.248748696,,5.425375757,,5.289817445,,5.313715993,,5.526783943,,
Cyprus,518,Intensity of local competition,Rank,,36,,26,,16,,18,,30,,43,,47,,37,,46,,43,,24,,
Czech Republic,517,Intensity of local competition,1-7 Best,,5.726925945,,5.832775359,,5.798396886,,5.668273816,,5.641295021,,5.709714656,,5.826191798,,5.733034812,,5.747198787,,5.76117538,,5.778956413,,
Czech Republic,518,Intensity of local competition,Rank,,17,,13,,10,,12,,16,,13,,12,,17,,14,,15,,14,,
Germany,517,Intensity of local competition,1-7 Best,,6.315081916,,6.38126695,,6.24346837,,6.100232957,,5.795034815,,5.785994557,,5.857121771,,5.910194852,,5.969979724,,5.904607116,,5.876191139,,
Germany,518,Intensity of local competition,Rank,,1,,1,,1,,2,,9,,8,,10,,12,,7,,10,,10,,
Denmark,517,Intensity of local competition,1-7 Best,,5.565902901,,5.584975705,,5.770351234,,5.56788795,,5.165191947,,5.423640429,,5.477446123,,5.357661914,,5.301552503,,5.454669843,,5.389902115,,
Denmark,518,Intensity of local competition,Rank,,26,,25,,11,,23,,46,,29,,27,,45,,45,,31,,40,,
Dominican Republic,517,Intensity of local competition,1-7 Best,,4.355120177,,4.673953879,,4.72663525,,4.637717629,,5.010802496,,5.001139483,,4.9203337,,4.998986003,,5.34086316,,5.596291448,,5.368166447,,
Dominican Republic,518,Intensity of local competition,Rank,,98,,87,,82,,86,,60,,56,,75,,72,,44,,21,,42,,
Algeria,517,Intensity of local competition,1-7 Best,,4.362181818,,4.21901385,,4.228981226,,4.534556792,,3.878914948,,3.145070663,,3.563368929,,3.804496263,,3.742288116,,3.780863935,,4.096379757,,
Algeria,518,Intensity of local competition,Rank,,95,,113,,109,,93,,131,,144,,141,,136,,138,,136,,131,,
Ecuador,517,Intensity of local competition,1-7 Best,,4.24585162,,3.83549656,,3.943609211,,4.13019024,,4.198911591,,4.293048,,4.490406318,,,,4.973913193,,5.015832098,,5.114328384,,
Ecuador,518,Intensity of local competition,Rank,,103,,125,,124,,116,,109,,103,,112,,,,76,,76,,68,,
"Egypt, Arab Rep.",517,Intensity of local competition,1-7 Best,,4.711737512,,4.573823976,,4.724675851,,4.5939191,,4.139263262,,4.024112775,,4.064639602,,4.048554138,,4.23695395,,4.23695395,,4.828282833,,
"Egypt, Arab Rep.",518,Intensity of local competition,Rank,,73,,92,,83,,91,,114,,121,,131,,133,,128,,127,,88,,
Spain,517,Intensity of local competition,1-7 Best,,5.567423036,,5.755043831,,5.606120125,,5.506346348,,5.490681546,,5.516486264,,5.4767163,,5.476183036,,5.611486465,,5.6362194,,5.54508543,,
Spain,518,Intensity of local competition,Rank,,25,,15,,22,,26,,23,,23,,28,,35,,19,,18,,23,,
Estonia,517,Intensity of local competition,1-7 Best,,5.571393753,,5.618420997,,5.506978636,,5.437812423,,5.39664295,,5.50206039,,5.592209207,,5.549693454,,5.60719248,,5.750164355,,5.779811859,,
Estonia,518,Intensity of local competition,Rank,,24,,22,,26,,31,,29,,25,,22,,29,,20,,16,,13,,
Ethiopia,517,Intensity of local competition,1-7 Best,,3.898798983,,3.76324631,,3.950679962,,4.213057589,,3.971677837,,3.591809675,,4.032087443,,4.526009959,,4.274924773,,3.88453854,,3.734404564,,
Ethiopia,518,Intensity of local competition,Rank,,117,,126,,123,,111,,125,,139,,133,,113,,126,,135,,134,,
Finland,517,Intensity of local competition,1-7 Best,,5.729569378,,5.699802117,,5.443468221,,5.095999381,,4.798098662,,4.871252878,,4.782694537,,4.602688443,,4.758833345,,4.782424455,,4.737727642,,
Finland,518,Intensity of local competition,Rank,,16,,16,,31,,52,,71,,68,,86,,108,,89,,94,,97,,
France,517,Intensity of local competition,1-7 Best,,5.799688615,,5.836721445,,5.709404689,,5.63454525,,5.712150759,,5.474251469,,5.518748305,,5.506551353,,5.520834849,,5.761848541,,5.792957306,,
France,518,Intensity of local competition,Rank,,12,,12,,15,,17,,12,,28,,26,,31,,29,,14,,12,,
Gabon,517,Intensity of local competition,1-7 Best,,,,,,,,,,,,3.798693,,4.16688829,,4.306094772,,4.110468949,,4.042027303,,,,
Gabon,518,Intensity of local competition,Rank,,,,,,,,,,,,132,,129,,124,,133,,134,,,,
United Kingdom,517,Intensity of local competition,1-7 Best,,5.984593642,,5.889752087,,5.837161486,,5.836510445,,5.925473231,,5.958592846,,6.038418273,,6.053071771,,6.0213832,,5.993628535,,5.731641293,,
United Kingdom,518,Intensity of local competition,Rank,,6,,10,,6,,8,,3,,5,,3,,5,,3,,3,,15,,
Georgia,517,Intensity of local competition,1-7 Best,,3.990768608,,4.174008498,,4.150126844,,3.945671184,,3.900682829,,3.868511,,4.317236093,,4.640380626,,4.739191797,,4.965539416,,4.774243355,,
Georgia,518,Intensity of local competition,Rank,,115,,114,,115,,124,,128,,127,,123,,105,,91,,78,,94,,
Ghana,517,Intensity of local competition,1-7 Best,,,,5.080453,,4.930290499,,4.844261661,,4.898449063,,5.040980735,,5.016216591,,4.446529108,,4.788068518,,5.09131608,,4.955670357,,
Ghana,518,Intensity of local competition,Rank,,,,61,,65,,71,,67,,53,,68,,118,,86,,72,,81,,
Guinea,517,Intensity of local competition,1-7 Best,,,,,,,,,,,,4.077403,,4.055836614,,4.196617061,,4.196617061,,,,5.555555344,,
Guinea,518,Intensity of local competition,Rank,,,,,,,,,,,,116,,132,,129,,130,,,,20,,
"Gambia, The",517,Intensity of local competition,1-7 Best,,4.494727785,,4.708379751,,4.784296035,,4.59620471,,4.588751707,,4.664523124,,4.811679809,,4.853589115,,4.735434217,,4.843003422,,5.474300385,,
"Gambia, The",518,Intensity of local competition,Rank,,88,,85,,76,,90,,86,,82,,84,,87,,93,,85,,30,,
Greece,517,Intensity of local competition,1-7 Best,,4.929221268,,5.152419412,,4.924541519,,4.746999092,,4.640476232,,4.424680099,,4.754483293,,5.053190631,,5.068350978,,5.056965608,,5.062120914,,
Greece,518,Intensity of local competition,Rank,,65,,52,,68,,77,,82,,95,,87,,71,,68,,73,,71,,
Guatemala,517,Intensity of local competition,1-7 Best,,5.007235283,,5.118545982,,5.1749364,,5.155748412,,5.137207844,,5.111104138,,5.200034886,,5.40378187,,5.532339592,,5.519607268,,5.435646057,,
Guatemala,518,Intensity of local competition,Rank,,58,,55,,50,,48,,50,,46,,53,,42,,28,,26,,37,,
Guyana,517,Intensity of local competition,1-7 Best,,4.244791667,,4.610681849,,4.562149853,,4.464445004,,4.703507124,,4.960583503,,4.987032376,,4.667450333,,4.538757875,,,,,,
Guyana,518,Intensity of local competition,Rank,,104,,88,,92,,99,,79,,59,,69,,102,,110,,,,,,
"Hong Kong SAR, China",517,Intensity of local competition,1-7 Best,,6.02304001,,5.96877304,,5.35654375,,5.414221481,,5.678720284,,5.775882362,,5.916299616,,6.058036797,,6.16129103,,6.16129103,,6.166666508,,
"Hong Kong SAR, China",518,Intensity of local competition,Rank,,4,,7,,35,,32,,14,,9,,7,,4,,2,,2,,3,,
Honduras,517,Intensity of local competition,1-7 Best,,4.181800634,,4.571598182,,4.59868635,,4.486853427,,4.451730788,,4.554399088,,4.558536196,,4.80696348,,4.988451774,,4.951686888,,4.936566353,,
Honduras,518,Intensity of local competition,Rank,,106,,93,,91,,97,,98,,89,,104,,88,,74,,79,,82,,
Croatia,517,Intensity of local competition,1-7 Best,,4.973528694,,4.956100194,,4.55871969,,4.161614766,,4.08859425,,4.044652078,,4.523904847,,4.882516725,,4.89682861,,4.796197229,,4.714762688,,
Croatia,518,Intensity of local competition,Rank,,63,,68,,93,,114,,115,,120,,107,,83,,83,,92,,102,,
Haiti,517,Intensity of local competition,1-7 Best,,,,,,,,,,3.727952,,3.708056792,,3.671992614,,3.752481899,,3.879262484,,,,3.25999999,,
Haiti,518,Intensity of local competition,Rank,,,,,,,,,,135,,134,,140,,140,,137,,,,136,,
Hungary,517,Intensity of local competition,1-7 Best,,5.424529348,,5.357607474,,5.256963878,,5.280035783,,5.327189808,,5.273885161,,5.280555423,,5.348527153,,5.12367933,,4.164353122,,4.245872498,,
Hungary,518,Intensity of local competition,Rank,,32,,38,,44,,39,,39,,38,,43,,47,,63,,129,,127,,
Indonesia,517,Intensity of local competition,1-7 Best,,5.509701007,,5.269922456,,5.250616583,,5.067707594,,4.57629755,,4.419180575,,5.025449851,,5.262468928,,5.112395433,,5.274168279,,5.391623974,,
Indonesia,518,Intensity of local competition,Rank,,28,,44,,47,,54,,89,,96,,66,,53,,65,,51,,39,,
India,517,Intensity of local competition,1-7 Best,,5.877526395,,5.861966184,,5.754229016,,5.445988545,,5.385704354,,5.376898389,,5.551620131,,4.785536004,,4.634437407,,4.749227474,,4.731376648,,
India,518,Intensity of local competition,Rank,,10,,11,,12,,30,,31,,34,,24,,91,,101,,96,,98,,
Ireland,517,Intensity of local competition,1-7 Best,,5.474545455,,5.355063492,,5.179382057,,5.101047829,,5.026402856,,5.225359861,,5.292814316,,5.173410733,,5.083591411,,5.193038437,,5.302785873,,
Ireland,518,Intensity of local competition,Rank,,30,,39,,49,,51,,59,,40,,42,,60,,67,,64,,52,,
