Country Name,250 persons employed or more,,From 50 to 249 persons employed,,From 20 to 49 persons employed,,From 10 to 19 persons employed,,From 0 to 9 persons employed,,Total,
GEO (Labels),,,,,,,,,,,,
Belgium,986,b,"4,122",b,"9,490",b,"17,101",b,"602,283",b,633982.0000,b
Bulgaria,690,b,"4,331",b,"8,955",b,"14,127",b,"315,666",b,343769.0000,b
Czech Republic,"1,654",,"7,057",,"12,905",,"19,858",,"1,001,856",,1043330.0000,
Denmark,733,,"3,983",,"8,540",,"12,791",,"199,571",,225618.0000,
Germany,"11,317",,"55,740",,"123,882",,"245,089",,"2,164,898",,2600926.0000,
Estonia,165,b,"1,063",b,"2,125",b,"3,466",b,"70,680",b,77499.0000,b
Ireland,592,,"3,136",,"6,566",,"10,984",,"242,031",,263309.0000,
Greece,523,,"3,508",,"10,511",,"22,014",,"672,143",,708699.0000,
Spain,"3,463",b,"15,917",b,"44,995",b,"84,442",b,"2,501,712",b,2650529.0000,b
France,"3,891",,"16,594",,"36,632",,"67,560",,"2,735,701",,2860378.0000,
Croatia,429,,"1,883",,"4,016",,"7,645",,"139,386",,153359.0000,
Italy,:,c,"20,364",,:,c,"125,962",,"3,498,405",,3697955.0000,
Cyprus,81,,:,c,:,c,"2,469",,"50,940",,55267.0000,
Latvia,209,,"1,462",,"3,070",,"5,237",,"102,750",,112728.0000,
Lithuania,367,b,"2,197",b,"4,349",b,"6,997",b,"197,201",b,211111.0000,b
Luxembourg,168,,709,,"1,307",,"2,212",,"29,951",,34347.0000,
Hungary,941,b,"4,515",b,"9,608",b,"18,425",b,"566,058",b,599547.0000,b
Malta,68,,364,,696,,"1,183",,"29,455",,31766.0000,
Netherlands,"1,756",,"8,912",,"16,205",,"26,136",,"1,170,482",,1223491.0000,
Austria,"1,184",b,"5,263",b,"12,156",b,"23,191",b,"274,768",b,316562.0000,b
Poland,"3,364",b,"15,474",b,"31,111",b,"51,598",b,"1,858,814",b,1960361.0000,b
Portugal,920,,"5,745",,"12,886",,"23,731",,"852,566",,895848.0000,
Romania,"1,662",b,"7,955",b,"16,447",b,"27,196",b,"448,714",b,501974.0000,b
Slovenia,246,,"1,247",,"2,206",,"4,252",,"137,765",,145716.0000,
Slovakia,599,,"2,567",,"4,319",,"7,019",,"479,132",,493636.0000,
Finland,618,,"3,077",,"6,317",,"10,881",,"208,708",,229601.0000,
Sweden,"1,385",,"5,882",,"12,048",,"20,357",,"599,053",,638725.0000,
Iceland,:,,:,,:,,:,,:,,,
Liechtenstein,:,,:,,:,,:,,:,,,
Norway,:,,:,,:,,:,,:,,,
Switzerland,:,,:,,:,,:,,:,,,
United Kingdom,"6,530",,"29,385",,"61,312",,"117,820",,"1,975,128",,2190175.0000,
Montenegro,:,,:,,:,,:,,:,,,
Macedonia,:,,:,,:,,:,,:,,,
Albania,:,,:,,:,,:,,:,,,
Serbia,:,c,"2,430",,:,c,"6,874",,"73,663",,87407.0000,
Turkey,:,,:,,:,,:,,:,,,
Bosnia and Herzegovina,:,,:,,:,,:,,:,,,
