Country,product_market_competition
Austria,52774.40779
Belgium,105679.1945
Bulgaria,57308.69062
Bosnia and Herzegovina,11.46739686
Switzerland,17.66739031
Cyprus,9228.431223
Germany,433503.5272
Denmark,37621.25847
Spain,441767.6321
Estonia,12934.38786
Finland,38283.72323
France,476745.2873
United Kingdom,365048.1637
Greece,118130.4259
Croatia,25571.82614
Hungary,99936.52599
Ireland,43900.97455
Iceland,21.49305652
Italy,616339.3121
Lithuania,35199.16284
Luxembourg,5740.29114
Latvia,18803.93827
North Macedonia,22.24625451
Malta,5309.42696
Montenegro,18.21371898
Netherlands,203931.0045
Norway,21.26831596
Poland,326739.6012
Portugal,149324.2237
Romania,83675.80414
Serbia,14580.90953
Slovenia,24301.04901
Sweden,106471.4787
Turkey,15.07465419
