Country Name,PMR,BAR,BF,NEW,FIR,COM
Austria,1.439355433,1.227980494,75.5,0.65,316562.0,5.62941885
Belgium,1.6891760830000002,1.705315709,80.6,3.37,633982.0,5.802305222
Bulgaria,1.9293747540000001,2.000349522,64.3,10.1,343769.0,4.813969612
Bosnia and Herzegovina,1.3849629159999999,1.070055127,49.3,1.09,,4.491966248
Switzerland,1.5314796569999998,1.098872185,75.7,4.53,,5.476599693
Cyprus,1.8005418180000001,1.680011511,77.0,17.58,55267.0,5.526783943
Germany,1.081647485,0.7551825640000001,86.1,1.35,2600926.0,5.8761911389999995
Denmark,1.023165464,0.627766371,92.5,10.01,225618.0,5.389902115
Spain,1.030317545,0.847029567,66.3,3.07,2650529.0,5.54508543
Estonia,1.287265122,1.070055127,75.6,23.59,77499.0,5.779811859
Finland,1.368777156,1.042897582,89.9,4.29,229601.0,4.737727642
France,1.573799253,1.317198753,80.2,4.84,2860378.0,5.792957306
United Kingdom,0.7803030609999999,0.720121384,91.1,15.65,2190175.0,5.731641292999999
Greece,1.556026757,1.1173431870000001,74.4,1.42,708699.0,5.062120913999999
Croatia,1.433284521,1.048822403,58.9,5.86,153359.0,4.714762688
Hungary,1.316536307,1.053518414,61.8,3.74,599547.0,4.245872498
Ireland,1.3849629159999999,1.229549885,81.8,7.13,263309.0,5.302785873
Iceland,1.44168061,1.6668483019999998,89.5,9.88,,4.976753712
Italy,1.316977262,1.065683365,70.3,2.96,3697955.0,5.229665756
Lithuania,1.185324043,0.565064013,73.4,3.33,211111.0,5.496658325
Luxembourg,1.6784607169999999,1.3526113030000002,69.2,17.2,34347.0,5.315770626
Latvia,1.280287266,0.749219179,80.1,8.01,112728.0,5.49009943
Macedonia,1.3849629159999999,1.070055127,82.9,3.63,,
Malta,1.53779912,1.3696746830000002,64.0,17.48,31766.0,6.174284458
Montenegro,1.3849629159999999,1.070055127,72.9,11.29,,4.423576832
Netherlands,1.097613096,1.069574594,80.5,6.42,1223491.0,5.940104485
Norway,1.150896221,0.896555126,90.4,8.62,,5.274128437
Poland,1.45029062,1.23926425,67.2,1.44,1960361.0,5.27769804
Portugal,1.3448095919999998,1.051711798,83.2,6.49,895848.0,5.255724907
Romania,1.861251295,1.5876151319999998,65.2,7.32,501974.0,4.855969429
Serbia,2.104091167,1.674208879,68.3,1.88,87407.0,4.4988732339999995
Slovenia,1.289845109,1.008405566,79.5,3.09,145716.0,5.40582943
Sweden,1.114501208,0.771598041,89.3,7.18,638725.0,5.505934715
Turkey,2.278851628,2.3568511009999997,63.3,1.56,,5.877568245
