Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 28 countries (2013-2020),9.3,9.1,9.2,10.7,10.8,10.8,10.8,10.9,11.1,11.3
European Union - 15 countries (1995-2004),10.7,10.3,10.5,12.4,12.7,12.5,12.5,12.6,12.7,13
Euro area - 19 countries  (from 2015),8.1,8.3,8.5,10.6,10.9,10.9,11.2,11.3,11.5,11.6
Belgium,7.4,7.4,6.9,6.9,7.4,6.9,7,8.5,8.5,8.2
Bulgaria,1.6,1.6,1.7,2,2.1,2,2.2,2.3,2.5,2
Czechia,7.8,11.6,11.1,10,9.6,8.5,8.8,9.8,8.5,8.1
Denmark,32.7,32.3,31.6,31.5,31.9,31.5,28,26.9,23.5,25.3
Germany,7.8,7.9,7.9,7.9,8,8.1,8.5,8.4,8.2,8.2
Estonia,11,11.9,12.8,12.6,11.6,12.4,15.7,17.2,19.7,20.2
Ireland,7.1,7.2,7.5,7.6,7,6.5,6.5,9,12.5,12.6
Greece,3.3,2.8,3.3,3.2,3.2,3.3,4,4.5,4.5,3.9
Spain,11.2,11.2,11.2,11.4,10.1,9.9,9.4,9.9,10.5,10.6
France,5,5.5,5.7,17.8,18.4,18.6,18.9,18.7,18.6,19.5
Croatia,3,3.1,3.3,3.1,2.8,3.1,3,2.3,2.9,3.5
Italy,6.2,5.7,6.6,6.2,8.1,7.3,8.3,7.9,8.1,8.1
Cyprus,8.1,7.8,7.7,7.2,7.1,7.5,6.9,6.9,6.7,5.9
Latvia,5.4,5.4,7.2,6.8,5.6,5.7,7.3,7.5,6.7,7.4
Lithuania,4.4,6,5.4,5.9,5.1,5.8,6,5.9,6.6,7
Luxembourg,13.5,13.9,14.2,14.6,14.5,18,16.8,17.2,18,19.1
Hungary,3,3,2.9,3.2,3.3,7.1,6.3,6.2,6,5.8
Malta,6.2,6.6,7.2,7.7,7.7,7.4,7.8,10.6,10.9,11.9
Netherlands,17,17.1,16.9,17.9,18.3,18.9,18.8,19.1,19.1,19.5
Austria,13.8,13.5,14.2,14.1,14.3,14.4,14.9,15.8,15.1,14.7
Poland,5.2,4.4,4.5,4.3,4,3.5,3.7,4,5.7,4.8
Portugal,5.7,11.5,10.5,9.7,9.6,9.7,9.6,9.8,10.3,10.5
Romania,1.4,1.6,1.4,2,1.5,1.3,1.2,1.1,0.9,1.3
Slovenia,16.4,16,13.8,12.5,12.1,11.9,11.6,12,11.4,11.2
Slovakia,3.1,4.1,3.2,3.1,3.1,3.1,2.9,3.4,4,3.6
Finland,23,23.8,24.5,24.9,25.1,25.4,26.4,27.4,28.5,29
Sweden,24.7,25.3,27,28.4,29.2,29.4,29.6,30.4,31.4,34.3
United Kingdom,20.1,16.3,16.3,16.6,16.3,15.7,14.4,14.3,14.6,14.8
Iceland,25.4,26.4,28.1,26.3,26.3,28.1,24.7,23.6,21.5,22.2
Norway,18.2,18.6,20.4,20.8,20.1,20.1,19.6,19.9,19.7,19.3
Switzerland,29.7,28.9,29.1,29.3,30.5,30.8,31.4,31.2,31.6,32.3
Montenegro,,2.4,2.4,2.8,2.9,3,3.3,2.8,3.2,2.5
North Macedonia,3.5,3.6,4.1,3.7,3.2,2.6,2.9,2.3,2.4,2.8
Serbia,4,3.5,3.6,3.9,4.4,4.8,5.1,4.4,4.1,4.3
Turkey,2.9,3.4,3.9,4.5,5.7,5.5,5.8,5.8,6.2,5.7
