Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,11.8,12.3,12.7,12,12.2,9.9,9.3,9.2,9.3,9.2
Bulgaria,21.8,21.5,21.6,20.2,19.3,18.2,15.3,15,13.7,14.4
Czechia,8.3,8.9,9.1,8.1,7.5,7,6.3,5.6,5.7,6.6
Denmark,7.2,7.3,6.6,6.4,7,6.7,7.6,7.7,7.7,7.4
Germany,7.5,7.1,6.3,6.4,6.2,6.7,6.3,5.9,5.7,7.3
Estonia,11.6,12.2,11.3,11.7,10.8,9.1,9.4,9.8,6.9,8.9
Ireland,19.1,19.2,16.4,15.3,14.3,12.6,10.9,10.1,10.1,12
Greece,17.4,20.2,20.4,19.1,17.2,15.8,15.3,14.1,12.5,13.2
Spain,18.2,18.6,18.6,17.1,15.6,14.6,13.3,12.4,12.1,13.9
France,12.3,12.5,11.2,11.2,12,11.9,11.4,11.1,10.6,11.4
Croatia,16.2,16.6,19.6,19.3,18.1,16.9,15.4,13.6,11.8,12.2
Italy,19.7,21,22.2,22.1,21.4,19.9,20.1,19.2,18.1,19
Cyprus,14.6,16,18.7,17,15.3,16,16.1,13.2,13.7,14.4
Latvia,16,14.9,13,12,10.5,11.2,10.3,7.8,7.9,7.1
Lithuania,11.8,11.2,11.1,9.9,9.2,9.4,9.1,8,8.6,10.8
Luxembourg,4.7,5.9,5,6.3,6.2,5.4,5.9,5.3,5.6,6.6
Hungary,13.2,14.8,15.5,13.6,11.6,11,11,10.7,11,11.7
Malta,10.2,10.8,9.9,10.3,10.5,8.8,8.6,7.3,8.6,9.2
Netherlands,4.3,4.9,5.6,5.5,4.7,4.6,4,4.2,4.3,4.5
Austria,7.3,6.8,7.3,7.7,7.5,7.7,6.5,6.8,7.1,8
Poland,11.5,11.8,12.2,12,11,10.5,9.5,8.7,8.1,8.6
Portugal,12.6,13.9,14.1,12.3,11.3,10.6,9.3,8.4,8,9.1
Romania,17.5,16.8,17,17,18.1,17.4,15.2,14.5,14.7,14.8
Slovenia,7.1,9.3,9.2,9.4,9.5,8,6.5,6.6,7,7.7
Slovakia,13.8,13.8,13.7,12.8,13.7,12.3,12.1,10.2,10.3,10.7
Finland,8.4,8.6,9.3,10.2,10.6,9.9,9.4,8.5,8.2,9.3
Sweden,7.5,7.8,7.5,7.2,6.7,6.5,6.2,6,5.5,6.5
Iceland,6.7,5.9,5.5,5.7,4.6,4.1,3.9,4.9,4.7,6.1
Norway,5,5.2,5.6,5.5,5,5.4,4.6,4.9,4.8,4.9
Switzerland,6.8,6.8,7.3,7.4,7.4,7,6.5,6,6.2,6.4
United Kingdom,14.2,13.9,13.2,11.9,11.1,10.9,10.3,10.4,10.5,
Montenegro,18.3,17.8,18.5,17.7,19.1,18.4,16.7,16.2,17.3,21.1
North Macedonia,25.2,24.8,24.2,25.2,24.7,24.3,24.9,24.1,18.1,19.6
Serbia,21.3,21.6,19.5,20.6,20.1,17.7,17.2,16.5,15.3,15.9
Turkey,29.6,28.7,25.5,24.8,23.9,23.9,24.2,24.4,26,28.3
