Country,labor_market_and_industrial_relations
Austria,26.35333333
Belgium,30.43166667
Bulgaria,8.093333333
Bosnia and Herzegovina,24.1225
Switzerland,19.48166667
Cyprus,21.64666667
Germany,17.16833333
Denmark,33.03166667
Spain,23.39333333
Estonia,9.71
Finland,34.945
France,26.13333333
United Kingdom,13.60666667
Greece,12.31166667
Croatia,18.26833333
Hungary,9.786666667
Ireland,15.53333333
Iceland,36.07
Italy,27.26666667
Lithuania,5.828333333
Luxembourg,20.41
Latvia,8.193333333
North Macedonia,20.6
Malta,20.70666667
Montenegro,22.73166667
Netherlands,23.865
Norway,25.73833333
Poland,11.61666667
Portugal,21.625
Romania,13.41166667
Serbia,21.70833333
Slovenia,22.01333333
Sweden,35.84666667
Turkey,10.43833333
