Country,TUD,CAC,EPI,TER,NEET,LLT
Austria,26.9,98.0,0.63,8.69,9.2,14.7
Belgium,54.2,96.0,0.43,10.96,12.8,8.2
Bulgaria,13.7,10.8,0.19,4.37,17.5,2.0
Bosnia and Herzegovina,30.0,50.0,0.38,16.11,,
Switzerland,15.7,49.2,0.38,12.61,6.7,32.3
Cyprus,47.7,47.7,0.37,13.61,14.6,5.9
Germany,17.0,56.0,0.61,11.9,9.3,8.2
Denmark,67.2,84.0,0.83,10.86,10.0,25.3
Spain,13.9,73.1,0.5,26.26,16.0,10.6
Estonia,4.5,18.6,0.23,3.13,11.6,20.2
Finland,64.6,89.3,0.81,15.66,10.3,29.0
France,7.9,98.5,0.5,16.4,14.0,19.5
United Kingdom,23.5,26.3,0.16,5.18,11.7,14.8
Greece,18.6,17.8,0.37,12.5,20.7,3.9
Croatia,25.8,46.7,0.38,18.23,15.0,3.5
Hungary,8.5,22.8,0.38,6.64,14.6,5.8
Ireland,24.4,33.5,0.38,9.72,12.6,12.6
Iceland,90.4,90.0,0.38,7.74,5.7,22.2
Italy,34.4,80.0,0.31,16.99,23.8,8.1
Lithuania,7.7,7.1,0.11,1.46,11.6,7.0
Luxembourg,32.0,55.0,0.38,9.08,6.9,19.1
Latvia,12.6,13.8,0.18,3.18,12.0,7.4
North Macedonia,28.0,49.0,0.38,16.72,26.7,2.8
Malta,51.4,41.8,0.41,9.13,9.6,11.9
Montenegro,25.9,50.0,0.38,33.41,24.2,2.5
Netherlands,17.3,78.6,0.67,20.12,7.0,19.5
Norway,52.5,67.0,0.38,7.95,7.3,19.3
Poland,12.1,17.2,0.37,21.83,13.4,4.8
Portugal,16.3,72.3,0.37,20.78,9.5,10.5
Romania,25.2,35.0,0.27,1.4,17.3,1.3
Serbia,27.9,55.0,0.38,22.77,19.9,4.3
Slovenia,26.9,70.9,0.71,13.37,9.0,11.2
Sweden,67.0,90.0,0.82,16.56,6.4,34.3
Turkey,8.2,5.9,0.38,11.55,30.9,5.7
