Country,Country Code,social_protection
Belgium,BEL,16.93833333
Bulgaria,BGR,17.65666667
Denmark,DNK,17.535
Germany,DEU,17.55
Estonia,EST,16.03833333
Ireland,IRL,14.818
Greece,GRC,15.79833333
Spain,ESP,17.255
France,FRA,18.56166667
Croatia,HRV,16.57833333
Italy,ITA,17
Cyprus,CYP,14.1045
Latvia,LVA,15.35666667
Lithuania,LTU,16.25166667
Luxembourg,LUX,17.76166667
Hungary,HUN,16.03
Malta,MLT,16.635
Netherlands,NLD,17.48333333
Austria,AUT,17.11
Poland,POL,15.80166667
Portugal,PRT,16.03
Romania,ROU,15.77333333
Slovenia,SVN,16.20166667
Finland,FIN,16.745
Sweden,SWE,18.41666667
United Kingdom,GBR,16.112
Iceland,ISL,17.7225
Liechtenstein,LIE,1.44
Norway,NOR,18.585
Switzerland,CHE,17.80833333
Montenegro,MNE,13.387
North Macedonia,MKD,17.1102
Albania,ALB,17.419
Serbia,SRB,17.628
Turkey,TUR,17.3062
Bosnia and Herzegovina,BIH,13.2465
