Country,2008_gini_income,2008_expenditure_on_social_protection,2008_expenditure_on_health_care,2008_healthy_life_years_at_age_65,Country Code,2008_fertility_rate
Belgium,28.4,,,,BEL,1.85
Bulgaria,33.6,,,,BGR,1.56
Czech Republic,26.3,,,,CZE,1.51
Denmark,25.2,,,,DNK,1.89
Germany,31.1,,,,DEU,1.38
Estonia,31.9,,,,EST,1.72
Ireland,30.9,,,,IRL,2.06
Greece,33.6,,,,GRC,1.5
Spain,34.2,,,,ESP,1.45
France,33.0,,,,FRA,2.01
Croatia,,,,,HRV,1.55
Italy,33.8,,,,ITA,1.45
Cyprus,31.7,,,,CYP,1.461
Latvia,37.2,,,,LVA,1.58
Lithuania,35.7,,,,LTU,1.45
Luxembourg,32.6,,,,LUX,1.61
Hungary,27.5,,,,HUN,1.35
Malta,29.0,,,,MLT,1.43
Netherlands,29.3,,,,NLD,1.77
Austria,30.4,,,,AUT,1.42
Poland,33.5,,,,POL,1.39
Portugal,36.6,,,,PRT,1.39
Romania,36.4,,,,ROU,1.6
Slovenia,23.7,,,,SVN,1.53
Finland,27.8,,,,FIN,1.85
Sweden,28.1,,,,SWE,1.91
United Kingdom,34.1,,,,GBR,1.91
Iceland,31.8,,,,ISL,2.15
Liechtenstein,,,,,LIE,1.43
Norway,27.0,,,,NOR,1.96
Switzerland,33.8,,,,CHE,1.48
Montenegro,,,,,MNE,1.8
North Macedonia,,,,,MKD,1.468
Albania,30.0,,,,ALB,1.654
Serbia,,,,,SRB,1.4
Turkey,39.0,,,,TUR,2.189
Bosnia and Herzegovina,,,,,BIH,1.303
