Country,Country Code,2018_expenditure_on_social_protection,2018_expenditure_on_families,2018_expenditure_on_health_care,2018_healthy_life_years_at_age_65,2018_gini_income,2018_fertility_rate
Belgium,BEL,28.7,7.09,25.66,11.1,,1.62
Bulgaria,BGR,16.9,10.1,28.82,9.8,,1.56
Czech Republic,CZE,18.5,8.96,32.38,8.3,,1.71
Denmark,DNK,31.4,10.76,20.8,11.3,,1.73
Germany,DEU,29.6,11.01,33.88,11.9,,1.57
Estonia,EST,16.4,14.21,29.43,5.7,,1.67
Ireland,IRL,14.2,8.26,37.12,12.9,,1.75
Greece,GRC,25.3,6.55,19.21,7.3,,1.35
Spain,ESP,23.5,5.4,26.22,11.4,,1.26
France,FRA,33.7,7.04,26.77,10.8,,1.88
Croatia,HRV,21.5,8.89,33.04,5,,1.47
Italy,ITA,28.8,3.98,22.24,9.5,,1.29
Cyprus,CYP,18.1,6.53,18.73,7.5,,1.329
Latvia,LVA,15.2,10.69,26.98,4.5,,1.6
Lithuania,LTU,15.8,10.06,29.66,6,,1.63
Luxembourg,LUX,22.6,14.64,24.03,9.1,,1.38
Hungary,HUN,17.4,11.65,27.67,7.2,,1.55
Malta,MLT,15.2,5.51,34.28,14.3,,1.23
Netherlands,NLD,28.9,3.97,32.26,9.7,,1.59
Austria,AUT,29.1,9.22,25.5,7.4,,1.47
Poland,POL,19.7,12.68,21.42,8.5,,1.46
Portugal,PRT,24,4.91,25.17,7.3,,1.42
Romania,ROU,15,10.03,28.36,6.1,,1.76
Slovenia,SVN,22,8.23,33.2,7.4,,1.6
Finland,FIN,30.1,9.8,22.23,9.5,,1.41
Sweden,SWE,28.3,10.39,26.42,15.7,,1.76
United Kingdom,GBR,25.7,9.14,32.26,10.4,,1.68
Iceland,ISL,24.4,10.06,35.94,:,,1.71
Liechtenstein,LIE,:,,,,,1.58
Norway,NOR,26.9,11.5,27.93,15.4,,1.56
Switzerland,CHE,26.3,5.54,29.44,10.4,,1.52
Montenegro,MNE,16.6,4.12,28.71,,,1.745
North Macedonia,MKD,:,:,:,,,1.496
Albania,ALB,:,,,,,1.617
Serbia,SRB,19.4,6.34,26.52,,,1.49
Turkey,TUR,11.8,3.84,27.44,,41.9,2.069
Bosnia and Herzegovina,BIH,19.3,4.27,28.07,,,1.265
