Country Code,1974_domestic_credit_provided_by_financial_sector_(%_of_GDP),1974_domestic_credit_to_private_sector_(%_of_GDP),1974_foreign_direct_investment_net_inflows_(%_of_GDP),1974_foreign_direct_investment_net_outflows_(%_of_GDP),1974_mutual_fund_assets_to_GDP_(%),1974_investments_financed_by_equity_or_stock_sales_(%),1974_stock_market_capitalization_to_GDP_(%),1974_stock_market_return_(%_year-on-year),1974_stock_market_total_value_traded_to_GDP_(%),1974_stock_market_turnover_ratio_(%),1974_stock_price_volatility,1974_bank_concentration_(%),1974_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,5.376082618327987,..,..,..,..,..,..,..,..,..,..,..
ALB,..,..,..,..,..,..,..,..,..,..,..,..,..
DZA,..,42.006497280139506,2.7100620551795496,..,..,..,..,..,..,..,..,..,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,..,..
AGO,..,..,..,..,..,..,..,..,..,..,..,..,..
ATG,..,..,..,..,..,..,..,..,..,..,..,..,..
ARG,30.37131231263602,19.173808278179308,0.024738814532403328,0.0033077120323458916,..,..,..,..,..,..,..,..,..
ARM,..,..,..,..,..,..,..,..,..,..,..,..,..
ABW,..,..,..,..,..,..,..,..,..,..,..,..,..
AUS,..,27.898526679054953,1.494665425144105,0.2711704011060581,..,..,..,-26.8751,..,..,..,..,..
AUT,..,..,0.5031358976861329,0.056068179956777195,..,..,..,..,..,..,..,..,..
AZE,..,..,..,..,..,..,..,..,..,..,..,..,..
BHS,61.590765338393425,51.344086021505376,22.681846932321314,..,..,..,..,..,..,..,..,..,..
BHR,..,..,..,..,..,..,..,..,..,..,..,..,..
BGD,..,2.611807689308114,0.017582473059832734,..,..,..,..,..,..,..,..,..,..
BRB,..,40.34476779456181,0.7689585416686254,0.041079848965843775,..,..,..,..,..,..,..,..,..
BLR,..,..,..,..,..,..,..,..,..,..,..,..,..
BEL,..,..,2.0291585667567498,0.8548522018262825,..,..,..,..,..,..,..,..,..
