Country Code,financial_system
AFG,15.59005
ALB,24.9260375
DZA,16.82592
AND,93.2954
AGO,14.122925
ATG,20.989925
ARG,16.98594167
ARM,20.06777143
ABW,19.80625
AUS,49.46365455
AUT,33.1615
AZE,15.489725
BHS,46.11932
BHR,27.18947778
BGD,11.80528571
BRB,34.92157143
BLR,17.5486
BEL,34.06502727
BLZ,21.23423333
BEN,24.0612
BMU,18.93835
BTN,49.2986
BOL,22.9617
BIH,19.86028889
BWA,17.63301429
BRA,29.97887273
BRN,17.94953333
BGR,18.14441
BFA,23.02068
BDI,26.52666
CPV,31.01506
KHM,20.17456667
CMR,14.9148
CAN,41.54718
CYM,698.8724667
CAF,6.84315
TCD,36.70163333
CHL,36.773775
CHN,48.55864545
COL,22.12843333
COM,6.5921
COD,12.34068
COG,8.8279
CRI,23.43517
CIV,16.61588571
HRV,16.69850833
CUB,100
CUW,28.57746667
CYP,60.28725455
CZE,15.93102
DNK,48.686425
DJI,32.5336
DMA,19.2486
DOM,21.84023333
ECU,13.96967778
EGY,15.69167273
SLV,31.01988333
GNQ,4.75955
EST,25.82023333
SWZ,22.3759
ETH,43.19375
FJI,48.208475
FIN,40.355125
FRA,45.7276
GAB,24.53275
GMB,28.649275
GEO,24.53825714
DEU,42.17741818
GHA,15.80924444
GRC,37.1898
GRD,22.414075
GTM,24.18243333
GIN,26.24225
GNB,4.147275
GUY,44.106825
HTI,34.3217
HND,26.9575
HKG,229.9313273
HUN,17.48544167
ISL,36.93415
IND,23.29550909
IDN,20.85108182
IRN,19.65875
IRQ,17.5751
IRL,111.81767
ISR,26.64735833
ITA,39.66105455
JAM,15.0944
JPN,83.60785833
JOR,24.29324545
KAZ,9.654809091
KEN,17.5533375
KIR,0.2688
KOR,49.13330909
XKX,16.5074
KWT,25.615025
KGZ,14.88258333
LAO,27.98262
LVA,17.29158889
LBN,18.99907778
LSO,30.519425
LBR,29.3596
LBY,26.185725
LIE,18.0689
LTU,20.27834444
LUX,662.24077
MAC,39.5028
MDG,22.39148
MWI,27.5393
MYS,40.83279091
MDV,25.701525
MLI,19.82072
MLT,50.35744545
MHL,17.6088
MRT,25.896675
MUS,28.65455
MEX,20.77696667
FSM,11.14536667
MDA,19.0152
MNG,21.8180125
MNE,21.72718571
MAR,29.48468333
MOZ,29.76802
MMR,35.69133333
NAM,18.16078
NRU,2.79505
NPL,14.08756667
NLD,65.75050909
NZL,17.88514
NIC,29.26603333
NER,23.94198
NGA,12.99062727
MKD,26.633225
NOR,50.06993333
OMN,22.63228889
PAK,13.03018333
PLW,4.07955
PAN,22.86364545
PNG,15.1561
PRY,21.676625
PER,15.36052727
PHL,22.25379091
POL,17.37865833
PRT,39.71043636
QAT,27.90434444
ROU,13.4016
RUS,16.63327273
RWA,21.80555
WSM,35.756725
SMR,100
STP,9.157825
SAU,30.57649091
SEN,18.14758
SRB,13.58138889
SYC,26.60464
SLE,20.982175
SGP,114.4280455
SXM,2.48335
SVK,14.7922
SVN,16.70776667
SLB,12.7676
SOM,6.6283
ZAF,65.547875
SSD,32.27673333
ESP,47.36562727
LKA,13.75625455
KNA,22.6399
LCA,40.75998
VCT,19.108025
SDN,36.1589
SUR,26.44974
SWE,43.909625
CHE,72.69223636
SYR,51.971
TJK,21.8948
TZA,13.7439
THA,55.990125
TLS,47.0869
TGO,27.07244
TON,10.9408
TTO,27.86085
TUN,21.9706
TUR,33.63836923
TKM,7.3
TUV,0.4492
UGA,11.9921
UKR,21.82838
ARE,25.855075
GBR,45.82642222
USA,90.72485833
URY,20.45918
UZB,15.78794
VUT,20.609225
VEN,70.5924
VNM,27.58315556
PSE,22.7835
YEM,18.8802
ZMB,16.94398333
ZWE,20.938575
TWN,25.7199
