Country Code,2005_owner_occupied_housing,2005_overburden_rate,2005_total_outstanding_residential_loans_to_GDP,2005_social_hosuing_stock,2005_real_estate_tax_to_GDP,2005_dealing_with_construction_permits_score_2006M,2005_dealing_with_construction_permits_score_2015M
BEL,72.2,30.1,,,3.02,..,..
BGR,85.4,,,,,..,..
CZE,73.5,28.7,,,0.4,..,..
DEU,53.3,,,,0.84,..,..
DNK,66.6,26.2,,,1.84,..,..
FIN,71.8,13.2,,,1.15,..,..
FRA,61.8,14.5,,,3.42,..,..
HUN,88.1,42.6,,,0.83,..,..
IRL,78.2,18.7,,,2.21,..,..
ISL,86.8,16.0,,,2.58,..,..
ITA,73.2,26.3,,,1.96,..,..
LTU,88.3,25.1,,,,..,..
MLT,79.6,4.7,,,,..,..
NLD,63.9,23.1,,,1.92,..,..
NOR,82.7,2.0,,,1.08,..,..
PRT,74.4,22.5,,,1.13,..,..
SWE,68.1,20.5,,,1.37,..,..
SVN,83.2,1.7,,,0.58,..,..
SVK,82.1,23.9,,,0.49,..,..
GBR,70.0,32.9,,,3.86,..,..
AUS,,,,,2.58,..,..
AUT,,,,,0.54,..,..
CAN,,,,,3.5,..,..
GRC,,,,,1.92,..,..
JPN,,,,,2.54,..,..
KOR,,,,,2.58,..,..
LUX,,,,,3.21,..,..
MEX,,,,,0.28,..,..
NZL,,,,,1.77,..,..
POL,,,,,1.49,..,..
ESP,,,,,3.02,..,..
CHE,,,,,2.23,..,..
TUR,,,,,0.77,..,..
USA,,,,,3.17,..,..
ARG,,,,,2.75,..,..
BHS,,,,,3.19,..,..
BRB,,,,,2.03,..,..
BLZ,,,,,1.23,..,..
BOL,,,,,0.83,..,..
BRA,,,,,2.26,..,..
CMR,,,,,0.14,..,..
CPV,,,,,0.84,..,..
CHL,,,,,1.31,..,..
COL,,,,,1.43,..,..
CRI,,,,,0.26,..,..
CIV,,,,,0.35,..,..
CUB,,,,,0.0,,
DOM,,,,,0.62,..,..
ECU,,,,,0.17,..,..
SLV,,,,,0.12,..,..
EST,,,,,0.29,..,..
GTM,,,,,0.32,..,..
HND,,,,,0.34,..,..
IDN,,,,,0.65,..,..
ISR,,,,,3.32,..,..
JAM,,,,,1.54,..,..
KAZ,,,,,0.61,..,..
KEN,,,,,0.08,..,..
LVA,,,,,1.0,..,..
MYS,,,,,0.0,..,..
MUS,,,,,0.99,..,..
MAR,,,,,1.52,..,..
NIC,,,,,0.22,..,..
NER,,,,,0.07,..,..
PAN,,,,,0.47,..,..
PRY,,,,,0.29,..,..
PER,,,,,0.55,..,..
PHL,,,,,0.5,..,..
RWA,,,,,0.0,..,..
SEN,,,,,0.4,..,..
SGP,,,,,1.32,..,..
ZAF,,,,,1.44,..,..
SWZ,,,,,0.27,..,..
TGO,,,,,0.05,..,..
TTO,,,,,0.32,..,..
TUN,,,,,0.25,..,..
URY,,,,,2.86,..,..
VEN,,,,,0.93,..,..
AFG,,,,,,..,..
ALB,,,,,,..,..
DZA,,,,,,..,..
AGO,,,,,,..,..
ATG,,,,,,..,..
ARM,,,,,,..,..
AZE,,,,,,..,..
BHR,,,,,,..,..
BGD,,,,,,..,..
BLR,,,,,,..,..
BEN,,,,,,..,..
BTN,,,,,,..,..
BIH,,,,,,..,..
BWA,,,,,,..,..
BRN,,,,,,..,..
BFA,,,,,,..,..
BDI,,,,,,..,..
KHM,,,,,,..,..
CAF,,,,,,..,..
TCD,,,,,,..,..
CHN,,,,,,..,..
COM,,,,,,..,..
COD,,,,,,..,..
COG,,,,,,..,..
HRV,,,,,,..,..
CYP,,,,,,..,..
DJI,,,,,,..,..
DMA,,,,,,..,..
EGY,,,,,,..,..
GNQ,,,,,,..,..
ERI,,,,,,..,..
ETH,,,,,,..,..
FJI,,,,,,..,..
GAB,,,,,,..,..
GMB,,,,,,..,..
GEO,,,,,,..,..
GHA,,,,,,..,..
GRD,,,,,,..,..
GIN,,,,,,..,..
GNB,,,,,,..,..
GUY,,,,,,..,..
HTI,,,,,,..,..
HKG,,,,,,..,..
IND,,,,,,..,..
IRN,,,,,,..,..
IRQ,,,,,,..,..
JOR,,,,,,..,..
KIR,,,,,,..,..
XKX,,,,,,..,..
KWT,,,,,,..,..
KGZ,,,,,,..,..
LAO,,,,,,..,..
LBN,,,,,,..,..
LSO,,,,,,..,..
LBR,,,,,,..,..
LBY,,,,,,..,..
LIE,,,,,,..,..
MDG,,,,,,..,..
MWI,,,,,,..,..
MDV,,,,,,..,..
MLI,,,,,,..,..
MHL,,,,,,..,..
MRT,,,,,,..,..
FSM,,,,,,..,..
MDA,,,,,,..,..
MNG,,,,,,..,..
MNE,,,,,,..,..
MOZ,,,,,,..,..
MMR,,,,,,..,..
NAM,,,,,,..,..
NPL,,,,,,..,..
NGA,,,,,,..,..
MKD,,,,,,..,..
OMN,,,,,,..,..
PAK,,,,,,..,..
PLW,,,,,,..,..
PNG,,,,,,..,..
PRI,,,,,,..,..
QAT,,,,,,..,..
ROU,,,,,,..,..
RUS,,,,,,..,..
WSM,,,,,,..,..
SMR,,,,,,..,..
SAU,,,,,,..,..
SRB,,,,,,..,..
SYC,,,,,,..,..
SLE,,,,,,..,..
SLB,,,,,,..,..
SOM,,,,,,..,..
SSD,,,,,,..,..
LKA,,,,,,..,..
KNA,,,,,,..,..
LCA,,,,,,..,..
VCT,,,,,,..,..
SDN,,,,,,..,..
SUR,,,,,,..,..
SYR,,,,,,..,..
STP,,,,,,..,..
TWN,,,,,,..,..
