Country Code,housing
BEL,40.64166667
BGR,54.5
CZE,30.81166667
DNK,47.33333333
DEU,32.92166667
EST,36.84
IRL,33.48333333
GRC,51.978
ESP,38.32333333
FRA,35.915
HRV,48.525
ITA,34.675
CYP,46.65
LVA,30.60666667
LTU,44.72
LUX,40.94
HUN,35.625
MLT,43.44
NLD,48.64333333
AUT,33.05333333
POL,35.99333333
PRT,37.14333333
ROU,52.2
SVN,30.17333333
SVK,33.92166667
FIN,36.105
SWE,49.756
ISL,38.74333333
NOR,46.51166667
CHE,47.52
GBR,44.83833333
MNE,72.66666667
MKD,69.96666667
ALB,74.4
SRB,80.23333333
TUR,39.562
XK,88.95
AUS,37.04
BRA,20.56333333
CAN,37.1825
JPN,32.1175
RUS,6.3
SGP,44.41666667
KOR,5.52
USA,35.6375
NZL,30.73
COL,23.68333333
MEX,34.555
ARG,29.625
BHS,1.89
BRB,29.04
BLZ,32.59
BOL,30.095
CMR,28.33
CPV,37.445
CHL,38.49
CRI,35.61
CIV,28.87
CUB,0
COD,0.02
DOM,35.65
ECU,33.365
SLV,26.375
GTM,32.77
HND,28.38
IDN,33.48
ISR,39.965
JAM,36.57
KAZ,38.485
KEN,33.865
MYS,44.5
MUS,43.45
MAR,42.385
NIC,23.26
NER,22.07
PAN,34.3
PRY,35.68
PER,36.435
PHL,35.235
RWA,35.31
SEN,31.25
ZAF,34.95
SWZ,34.55
TGO,32.125
TTO,32.155
TUN,38.855
URY,29.875
VEN,1.21
