Country,owner occupied hosung %,overburden rate,outstanding residential loans %GDP,Social hosing stock,Property tax % GDP,Dealing with Construction Permits score
BEL,72.3,34.8,53.6,4.2,3.45,75.5
BGR,83.6,50.1,8.4,,,75.9
CZE,78.7,27.9,21.2,0.4,0.47,56.2
DNK,60.5,28.9,83.5,21.4,1.8,87.9
DEU,51.5,20.9,43.2,2.7,1.03,78.2
EST,82.4,25.5,29.2,1.1,0.24,82.6
IRL,70.3,14.3,25.7,12.7,1.3,76.6
GRC,73.5,83.1,30.7,,3.09,69.5
ESP,76.3,38.1,41.1,1.1,2.54,70.8
FRA,65.1,14.9,42.8,14,4.39,74.3
HRV,90.1,32.1,14.1,,,57.8
ITA,72.4,29.1,31.5,4.2,2.55,68.3
CYP,70.1,11.3,41,,,64.2
LVA,81.6,11.5,14.1,1.9,1.04,73.5
LTU,89.9,30.9,17.1,0.8,,84.9
LUX,71.2,30.2,55.1,1.6,3.64,83.9
HUN,86,46.9,10.2,2.6,1.05,67
MLT,81.6,12.1,44.5,5.5,,73.5
NLD,68.9,25.6,92.3,34.1,1.56,69.4
AUT,55.4,14.5,29.2,23.6,0.52,75.1
POL,84,26.4,20.2,7.6,1.36,76.4
PRT,74.5,25.8,46,2,1.36,73.2
ROU,96.4,46.3,7.7,,,58.4
SVN,75.1,21.7,13.6,4.7,0.64,65.3
SVK,91.3,19.2,31.6,1.6,0.43,59.4
FIN,71.6,15.2,41.9,10.5,1.53,75.9
SWE,64.1,18.8,86.9,,0.98,78
ISL,73.6,17.4,56.7,11.1,2.06,71.6
NOR,81.3,35.4,76.2,4.3,1.27,80.6
CHE,42.5,19.4,141.3,8,2.12,71.8
GBR,65.2,37.7,65,16.7,4.13,80.3
MNE,90.2,51.7,,,,76.1
MKD,88.3,38.1,,,,83.5
ALB,96.1,,,,,52.7
SRB,84.4,71,,,,85.3
TUR,59,32.1,31.8,,1.11,73.8
XK,97.8,80.1,,,,
AUS,,,56.2,4.4,2.86,84.7
BRA,,,8.4,,1.39,51.9
CAN,,,68.3,3.5,3.93,73
JPN,,,39.6,3.2,2.57,83.1
RUS,,,6.3,,,
SGP,,,43.4,,1.95,87.9
KOR,,,4.7,8.9,2.96,
USA,,,54.6,3.6,4.35,80
NZL,,,,3.8,1.89,86.5
COL,,,,0,1.95,69.1
MEX,,,,,0.31,68.8
ARG,,,,,2.85,56.4
BHS,,,,,1.89,
BRB,,,,,1.48,56.6
BLZ,,,,,0.88,64.3
BOL,,,,,0.19,60
CMR,,,,,0.16,56.5
CPV,,,,,0.29,74.6
CHL,,,,,1.08,75.9
CRI,,,,,0.42,70.8
CIV,,,,,0.34,57.4
CUB,,,,,0,
COD,,,,,0.02,
DOM,,,,,0.6,70.7
ECU,,,,,0.33,66.4
SLV,,,,,0.45,52.3
GTM,,,,,0.24,65.3
HND,,,,,0.56,56.2
IDN,,,,,0.16,66.8
ISR,,,,,3.23,76.7
JAM,,,,,1.24,71.9
KAZ,,,,,0.47,76.5
KEN,,,,,0.13,67.6
MYS,,,,,0,89
MUS,,,,,1.1,85.8
MAR,,,,,1.57,83.2
NIC,,,,,0.22,46.3
NER,,,,,0.04,44.1
PAN,,,,,0.4,68.2
PRY,,,,,0.26,71.1
PER,,,,,0.37,72.5
PHL,,,,,0.47,70
RWA,,,,,0.02,70.6
SEN,,,,,0.4,62.1
ZAF,,,,,1.6,68.3
SWZ,,,,,0.4,68.7
TGO,,,,,0.15,64.1
TTO,,,,,0.21,64.1
TUN,,,,,0.31,77.4
URY,,,,,2.25,57.5
VEN,,,,,1.21,
